,City,Country,Date,Latitude,Longitude,Temperature,Humidity,Wind speed,Cloudliness
0,Oranjestad,AW,1513778400,12.52,-70.03,84.2,74,19.46,20
1,Puerto Ayora,EC,1513778400,-0.74,-90.35,73.4,78,5.82,90
2,Vao,NC,1513781145,-22.67,167.48,75.18,100,13.56,92
3,Tura,RU,1513781145,64.28,100.25,10.96,68,5.95,80
4,Ust-Kuyga,RU,1513781146,70.02,135.6,-48.53,0,3.94,0
5,Torbay,CA,1513779600,47.67,-52.73,39.2,100,17.22,90
6,Ahuimanu,US,1513778160,21.44,-157.84,71.6,68,8.05,75
7,Guthrie,US,1513779600,35.88,-97.43,51.8,93,6.93,90
8,Rawson,AR,1513781147,-43.3,-65.1,74.1,60,7.07,0
9,Tahe,CN,1513781148,52.33,124.73,-1.01,74,5.84,0
10,Kochki,RU,1513781148,54.34,80.48,-10.96,74,8.63,36
11,Isla Mujeres,MX,1513777440,21.23,-86.73,73.4,100,2.24,40
12,Buraydah,SA,1513778400,26.33,43.98,75.2,33,8.05,0
13,Tiksi,RU,1513781149,71.69,128.87,-29.9,48,2.82,36
14,Tselinnoye,RU,1513781149,53.08,85.67,-18.65,27,2.93,0
15,Abeche,TD,1513778400,13.83,20.83,96.8,8,4.7,0
16,Dafeng,CN,1513781150,23.45,108.59,46.87,36,5.95,0
17,Luderitz,NA,1513781150,-26.65,15.16,62.94,86,13.44,8
18,Port Hardy,CA,1513778400,50.7,-127.42,33.8,59,8.05,5
19,Chengde,CN,1513781151,40.97,117.94,11.05,62,4.61,0
20,Lima,PE,1513780859,-12.04,-77.03,69.15,68,2.71,0
21,Sorland,NO,1513779600,67.67,12.69,42.8,81,24.16,40
22,Abalak,NE,1513781152,15.45,6.28,92.55,22,5.06,0
23,Ancud,CL,1513781152,-41.87,-73.82,58.98,74,9.64,8
24,Nelidovo,RU,1513781153,56.22,32.78,20.37,82,2.93,32
25,Darya Khan,PK,1513781153,31.79,71.1,55.42,84,3.71,0
26,Ostrovnoy,RU,1513781153,68.05,39.51,31.08,94,14.9,80
