Temperature (F),Humidity (%),Wind Speed (mph),Cloudiness (%),Country,City Name,Lat,Lon
10.0,71,10.8,75,GB,Brae,60.4,-1.35
33.93,19,3.46,0,UA,Tokmak,47.26,35.7
20.93,29,3.11,0,ZA,Kokstad,-30.55,29.42
29.53,74,3.1,40,SN,Oussouye,12.49,-16.54
29.0,79,7.7,20,SO,Mogadishu,2.04,45.34
27.18,99,10.11,36,BR,Trairi,-3.28,-39.27
12.43,88,1.26,80,CN,Gabu,34.78,103.0
28.43,38,1.31,44,GR,Exaplatanos,40.98,22.13
20.63,57,4.21,36,RU,Synya,65.37,58.04
23.48,60,2.36,0,BR,Jaciara,-15.95,-54.98
18.28,100,1.21,92,BR,Almenara,-16.17,-40.69
4.0,80,10.3,92,GL,Tasiilaq,65.61,-37.64
18.68,68,8.21,36,RU,Aksarka,66.56,67.8
26.0,94,2.1,90,IN,Kochi,9.96,76.25
34.03,55,4.86,8,NE,Abalak,15.46,6.28
31.0,40,6.2,20,RO,Navodari,44.32,28.6
23.0,27,3.1,0,ZA,Bredasdorp,-34.53,20.04
29.0,62,2.6,0,EG,Damietta,31.42,31.81
29.08,22,1.46,0,CD,Luau,-10.7,22.23
23.38,71,1.36,0,GE,Dmitriyevka,43.08,41.0
12.53,96,5.01,92,RU,Verkhnyaya Toyma,62.24,45.0
27.0,78,6.7,40,GH,Anloga,5.79,0.9
27.13,28,6.46,0,RU,Krasnyy Yar,50.7,44.73
23.78,37,2.96,32,ZW,Bindura,-17.3,31.33
37.63,46,2.76,12,BF,Dori,14.03,-0.03
24.0,64,7.2,0,MR,Nouadhibou,20.93,-17.03
23.51,100,4.1,75,BN,Victoria,5.28,115.24
39.88,12,4.71,20,LY,Awbari,26.59,12.77
28.73,87,5.01,8,BR,Humberto de Campos,-2.6,-43.46
33.13,51,2.86,8,SD,Umm Kaddadah,13.6,26.69
13.03,92,2.76,92,RU,Pelym,61.01,62.0
27.93,91,2.86,20,TD,Kyabe,9.45,18.94
29.4,48,3.1,20,IT,Pombia,45.65,8.63
30.78,79,3.16,64,NE,Magaria,13.0,8.91
25.33,61,1.96,0,MW,Nkhata Bay,-11.61,34.3
28.48,71,1.31,8,GA,Lambarene,-0.7,10.22
19.78,71,1.91,12,ET,Goba,7.01,39.97
13.43,76,8.51,88,RU,Votkinsk,57.05,53.99
13.0,62,6.7,75,IE,Ballina,54.11,-9.15
28.0,37,4.6,0,FR,Saint-Francois,46.42,3.91
21.18,73,4.21,0,BR,Correntina,-13.34,-44.63
27.0,69,6.2,40,GA,Port-Gentil,-0.72,8.78
24.0,73,3.6,20,PT,Lagoa,37.14,-8.45
28.96,45,4.6,0,IL,Abu Ghosh,31.81,35.11
11.0,81,4.1,75,NO,Kolvereid,64.86,11.6
17.58,82,1.21,8,BR,Bonito,-21.13,-56.49
27.23,80,3.96,68,GN,Yomou,7.57,-9.26
28.0,34,8.2,40,LV,Tukums,56.97,23.17
24.18,40,2.11,68,MW,Rumphi,-11.02,33.86
28.0,28,3.0,0,UA,Chapayeve,49.37,35.87
15.83,82,5.51,0,CA,Goderich,43.74,-81.71
28.13,100,8.41,92,MV,Eydhafushi,5.1,73.07
23.48,45,8.71,0,RU,Torbeyevo,54.07,43.25
7.0,75,6.2,75,GL,Qaqortoq,60.72,-46.03
14.89,63,5.1,75,SE,Nybro,56.75,15.91
7.45,87,4.1,75,NO,Mehamn,71.03,27.85
8.63,67,10.16,0,AR,Necochea,-38.55,-58.74
30.53,48,1.16,12,UA,Krasnoarmeyskoye,45.99,34.03
26.88,60,3.31,0,KZ,Fort-Shevchenko,44.51,50.26
14.0,82,7.2,40,BR,Passo Fundo,-28.26,-52.41
21.36,94,1.96,90,US,Harper,30.3,-99.24
24.98,22,2.01,0,AO,Menongue,-14.66,17.68
28.53,53,3.06,0,LY,Nalut,31.86,10.98
15.0,87,4.1,12,UY,Paso de los Toros,-32.81,-56.52
41.43,14,2.56,48,OM,Nizwa,22.93,57.53
22.0,46,3.6,0,NA,Walvis Bay,-22.95,14.51
35.18,30,2.76,0,EG,Suez,29.97,32.54
17.18,66,2.86,56,RU,Inta,66.04,60.13
23.63,96,3.01,0,AO,Sumbe,-11.2,13.84
25.0,78,3.1,40,MU,Cap Malheureux,-19.98,57.61
34.53,24,6.26,76,KZ,Dossor,47.52,52.98
30.93,42,7.96,0,SY,Abu Samrah,35.3,37.18
32.28,49,4.11,48,NE,Tanout,14.97,8.88
24.0,16,2.1,0,NA,Okahandja,-21.98,16.91
36.0,47,7.2,0,IR,Bandar-e Lengeh,26.56,54.88
25.68,95,1.96,80,CF,Carnot,4.94,15.87
25.68,93,3.31,76,BR,Sao Jose da Coroa Grande,-8.9,-35.15
14.0,82,5.7,0,UY,Minas,-34.38,-55.24
3.93,95,9.46,92,GL,Paamiut,61.99,-49.67
28.0,61,5.1,0,BR,Extremoz,-5.7,-35.3
10.0,93,0.5,75,NO,Beisfjord,68.38,17.6
27.03,51,5.11,0,BR,Conceicao do Araguaia,-8.26,-49.26
25.23,95,3.26,92,NG,Makurdi,7.73,8.54
23.27,69,3.6,75,FR,Mont-de-Marsan,43.89,-0.5
24.88,50,2.41,24,TZ,Karema,-6.82,30.44
9.32,76,4.6,75,NO,Floro,61.6,5.03
20.28,90,1.91,0,KE,Sagana,-0.67,37.21
23.43,94,3.96,32,BR,Valenca,-13.37,-39.07
25.08,78,1.76,44,ET,Asosa,10.07,34.53
25.93,92,4.36,92,NG,Warri,5.52,5.75
30.0,66,1.5,75,CM,Madimba,4.42,9.93
31.52,33,5.1,40,SA,Abha,18.22,42.5
26.23,86,4.26,0,GN,Koubia,11.59,-11.89
28.13,61,2.66,0,UA,Slavutych,51.52,30.76
44.38,9,4.91,12,ML,Taoudenni,22.68,-3.98
21.63,95,1.16,80,PH,Marawi,8.0,124.29
27.0,61,5.1,20,GR,Karpathos,35.51,27.21
27.0,61,5.1,20,GR,Adamas,36.73,24.43
22.93,72,4.31,0,ZA,Richards Bay,-28.77,32.06
30.23,48,2.56,12,PT,Saldanha,41.42,-6.55
23.0,25,4.6,0,ZA,Oudtshoorn,-33.59,22.2
27.73,71,1.36,20,CM,Yokadouma,3.52,15.05
22.53,82,1.61,92,TZ,Magole,-6.37,37.37
27.63,35,9.71,88,KZ,Derzhavinsk,51.1,66.31
27.98,55,1.81,0,LY,Jadu,31.95,12.03
8.0,93,2.1,75,NO,Havoysund,71.0,24.66
17.71,36,6.2,0,GB,Grays,51.48,0.32
27.0,78,6.2,90,GH,Winneba,5.35,-0.62
16.23,94,3.71,80,RU,Gornopravdinsk,60.06,69.92
25.0,65,4.6,20,PT,Rabo de Peixe,37.8,-25.58
26.88,100,9.31,88,IN,Kavaratti,10.57,72.64
31.93,55,1.46,0,CD,Kikwit,-5.04,18.82
32.78,66,4.31,0,TD,Moussoro,13.64,16.49
34.68,19,1.46,8,TM,Balkanabat,39.51,54.36
24.98,59,4.91,0,RU,Yekimovichi,54.11,33.29
41.93,21,2.66,0,IN,Phalodi,27.13,72.36
25.53,15,3.16,0,NA,Aranos,-24.14,19.11
24.18,80,1.86,24,ET,Gambela,8.25,34.59
32.13,48,1.31,12,CD,Inongo,-1.93,18.29
25.88,44,5.16,0,MG,Ampanihy,-24.69,44.75
17.63,73,1.91,0,BR,Ponta do Sol,-20.63,-46.0
28.35,65,4.1,40,IT,Noto,36.89,15.07
27.43,65,1.21,0,BR,Sao Felix do Xingu,-6.64,-51.99
11.34,87,6.2,75,DE,Malente,54.17,10.56
27.78,83,2.41,48,SL,Bonthe,7.53,-12.5
25.68,93,3.31,76,BR,Maragogi,-9.01,-35.22
28.0,78,5.1,75,GN,Conakry,9.52,-13.7
20.78,38,7.91,68,RU,Shumikha,55.23,63.28
32.13,23,2.41,0,RU,Apsheronsk,44.46,39.74
10.0,71,5.1,75,NO,Storforshei,66.4,14.52
40.13,34,2.66,12,ML,Tenenkou,14.46,-4.91
23.88,35,5.11,24,ZM,Choma,-16.81,26.98
24.03,39,3.11,0,AO,Camacupa,-12.02,17.48
16.03,68,4.31,8,BR,Cidreira,-30.17,-50.22
9.0,87,2.6,90,NO,Tromso,69.65,18.96
25.0,88,1.21,20,BR,Itaituba,-4.26,-55.99
30.0,42,2.6,75,UA,Velykoploske,47.02,29.68
30.0,62,4.6,40,GW,Bubaque,11.28,-15.83
28.0,61,2.6,20,GR,Ierapetra,35.01,25.74
19.42,83,1.5,0,BR,Arraial do Cabo,-22.97,-42.02
35.18,51,1.66,76,IN,Kushalgarh,23.2,74.45
25.93,88,2.56,0,GA,Cocobeach,1.01,9.58
15.83,68,0.21,36,FR,Briancon,44.9,6.65
25.38,100,2.41,88,GF,Sinnamary,5.38,-52.96
22.0,83,3.1,20,PT,Campos,41.54,-8.28
28.73,76,1.21,20,CD,Mongoumba,3.64,18.59
23.88,100,1.46,0,MG,Farafangana,-22.82,47.83
19.13,49,3.46,12,RU,Lodeynoye Pole,60.73,33.55
26.0,65,4.1,75,IR,Neka,36.65,53.3
18.46,37,2.6,0,FI,Kurikka,62.62,22.4
27.88,88,1.86,44,CF,Rafai,4.95,23.92
19.78,51,2.66,56,RU,Mezhdurechensk,53.69,88.07
36.53,43,3.11,48,SD,Wad Rawah,15.16,33.13
14.13,100,1.06,8,ZA,Oranjemund,-28.55,16.43
25.43,40,2.66,0,ZW,Chipinge,-20.19,32.62
26.38,100,5.46,68,CI,Tabou,4.42,-7.36
21.0,88,3.6,75,EC,Olinda,-2.03,-79.75
23.0,60,2.6,75,RW,Rwamagana,-1.95,30.43
22.28,82,1.06,68,IT,Cefalu,38.04,14.02
27.28,76,5.51,92,GH,Techiman,7.58,-1.94
3.03,95,7.96,92,GL,Nanortalik,60.14,-45.24
31.51,33,5.1,40,SA,Faya,18.39,42.45
20.53,35,8.36,76,RU,Koyelga,54.65,60.9
21.0,56,7.0,75,RU,Petrovskoye,56.26,36.47
28.96,42,3.1,20,GR,Lithakia,37.72,20.83
12.0,100,1.81,0,BR,Cervo,-22.19,-46.24
31.0,58,5.1,75,TD,Kibala,9.11,18.35
20.13,53,6.26,64,RU,Sheksna,59.21,38.5
12.0,54,10.8,0,FO,Vestmanna,62.16,-7.17
